Report_Date,Confidence
2025-11-14,100.0
2016-12-09,100.0
2016-12-16,100.0
2016-12-23,100.0
2017-01-06,100.0
2017-01-13,100.0
2017-01-20,100.0
2017-01-27,100.0
2017-02-03,100.0
2017-02-10,100.0
2017-02-17,100.0
2017-03-02,100.0
2017-03-09,100.0
2017-03-17,100.0
2017-03-24,100.0
2017-03-31,100.0
2017-04-07,100.0
2017-04-14,100.0
2017-04-28,100.0
2017-05-05,100.0
2017-05-19,100.0
2017-05-26,100.0
2017-06-02,100.0
2017-06-09,100.0
2017-06-16,100.0
2017-06-23,100.0
2017-06-30,100.0
2017-07-07,100.0
2017-07-14,100.0
2017-07-21,100.0
2017-07-28,100.0
2017-08-04,100.0
2017-08-11,100.0
2017-09-01,100.0
2017-09-08,100.0
2017-09-15,100.0
2017-09-22,100.0
2017-09-29,100.0
2017-10-06,100.0
2017-10-13,100.0
2017-10-20,100.0
2017-10-27,100.0
2017-11-10,100.0
2017-11-17,100.0
2017-11-24,100.0
2017-12-01,100.0
2017-12-08,100.0
2017-12-14,100.0
2017-12-22,100.0
2018-01-12,100.0
2018-01-19,100.0
2018-01-25,100.0
2018-02-02,100.0
2018-02-09,100.0
2018-02-16,100.0
2018-02-23,100.0
2018-03-02,100.0
2018-03-09,100.0
2018-03-16,100.0
2018-03-23,100.0
2018-03-29,100.0
2018-04-06,100.0
2018-04-13,100.0
2018-04-20,100.0
2018-04-27,100.0
2018-05-04,100.0
2018-05-11,100.0
2018-05-18,100.0
2018-05-25,100.0
2018-06-01,100.0
2018-06-08,100.0
2018-06-15,100.0
2018-06-29,100.0
2018-07-06,100.0
2018-07-13,100.0
2018-07-20,100.0
2018-07-27,100.0
2018-08-10,100.0
2018-08-31,100.0
2018-09-07,100.0
2018-09-14,100.0
2018-09-21,100.0
2018-09-28,100.0
2018-10-05,100.0
2018-10-12,100.0
2018-10-19,100.0
2018-10-26,100.0
2018-11-02,100.0
2018-11-09,100.0
2018-11-16,100.0
2018-11-23,100.0
2018-11-30,100.0
2018-12-07,100.0
2018-12-14,100.0
2018-12-21,100.0
2019-01-04,100.0
2019-01-11,100.0
2019-01-18,100.0
2019-01-25,100.0
2019-02-01,100.0
2019-02-08,100.0
2019-02-15,100.0
2019-02-22,100.0
2019-03-01,100.0
2019-03-08,100.0
2019-03-15,100.0
2019-03-22,100.0
2019-03-29,100.0
2019-04-05,100.0
2019-04-12,100.0
2019-04-18,100.0
2019-04-26,100.0
2019-05-03,100.0
2019-05-10,100.0
2019-05-17,100.0
2019-05-24,100.0
2019-05-31,100.0
2019-06-07,100.0
2019-06-14,100.0
2019-06-21,100.0
2019-06-28,100.0
2019-07-03,100.0
2019-07-12,100.0
2019-07-19,100.0
2019-07-26,100.0
2019-08-02,100.0
2019-08-09,100.0
2019-08-30,100.0
2019-09-06,100.0
2019-09-13,100.0
2019-09-20,100.0
2019-09-27,100.0
2019-10-04,100.0
2019-10-11,100.0
2019-10-18,100.0
2019-10-25,100.0
2019-11-01,100.0
2019-11-08,100.0
2019-11-15,100.0
2019-11-22,100.0
2019-12-06,100.0
2019-12-13,100.0
2019-12-20,100.0
2020-01-03,100.0
2020-01-10,100.0
2020-01-17,100.0
2020-01-24,100.0
2020-01-31,100.0
2020-02-07,100.0
2020-02-14,100.0
2020-02-21,100.0
2020-02-28,100.0
2020-03-06,100.0
2020-03-13,100.0
2020-03-20,100.0
2020-03-27,100.0
2020-04-03,100.0
2020-04-09,100.0
2020-04-17,100.0
2020-04-24,100.0
2020-05-01,100.0
2020-05-08,100.0
2020-05-15,100.0
2020-05-22,100.0
2020-05-29,100.0
2020-06-05,100.0
2020-06-12,100.0
2020-06-19,100.0
2020-06-26,100.0
2020-07-02,100.0
2020-07-10,100.0
2020-07-17,100.0
2020-07-24,100.0
2020-07-31,100.0
2020-08-07,100.0
2020-08-28,100.0
2020-09-04,100.0
2020-09-18,100.0
2020-09-25,100.0
2020-10-02,100.0
2020-10-09,100.0
2020-10-16,100.0
2020-10-23,100.0
2020-10-30,100.0
2020-11-06,100.0
2020-11-13,100.0
2020-11-20,100.0
2020-12-04,100.0
2020-12-11,100.0
2020-12-18,100.0
2021-01-08,100.0
2021-01-15,100.0
2021-01-29,100.0
2021-02-05,100.0
2021-02-12,100.0
2021-02-19,100.0
2021-02-26,100.0
2021-03-05,100.0
2021-03-12,100.0
2021-03-19,100.0
2021-03-26,100.0
2021-04-01,100.0
2021-04-09,100.0
2021-04-16,100.0
2021-04-23,100.0
2021-05-07,100.0
2021-05-14,100.0
2021-05-21,100.0
2021-06-04,100.0
2021-06-11,100.0
2021-06-17,100.0
2021-07-02,100.0
2021-07-09,100.0
2021-07-16,100.0
2021-07-23,100.0
2021-07-30,100.0
2021-08-06,100.0
2021-08-13,100.0
2021-09-03,100.0
2021-09-10,100.0
2021-09-17,100.0
2021-09-24,100.0
2021-10-01,100.0
2021-10-08,100.0
2021-10-15,100.0
2021-10-22,100.0
2021-10-29,100.0
2021-11-05,100.0
2021-11-12,100.0
2021-11-19,100.0
2021-12-10,100.0
2022-01-13,100.0
2022-01-28,100.0
2022-02-04,100.0
2022-02-11,100.0
2022-02-18,100.0
2022-02-25,100.0
2022-03-04,100.0
2022-03-11,100.0
2022-03-18,100.0
2022-03-25,100.0
2022-04-01,100.0
2022-04-08,100.0
2022-04-14,100.0
2022-04-22,100.0
2022-04-29,100.0
2022-05-06,100.0
2022-05-13,100.0
2022-05-20,100.0
2022-05-27,100.0
2022-06-03,100.0
2022-06-10,100.0
2022-06-17,100.0
2022-06-24,100.0
2022-07-01,100.0
2022-07-08,100.0
2022-07-15,100.0
2022-07-22,100.0
2022-07-29,100.0
